material,material-id,e_hull,indice_de_miller,capas,nsites,altura_slab,a,b,c,alpha,beta,gamma,escalonada,exito_limpia,sitios_bridge,sitios_hollow,sitios_ontop,sitios_totales,bridge_enviados,hollow_enviados,ontop_enviados,bridge_exitosos,hollow_exitosos,ontop_exitosos,prob_convergencia,prob_tiempo,errores
Ag,mp-8566,0.0,100,6,16,9.244083974057036,2.911131475,9.46370874,29.24408397405704,90.0,90.0,90.0,False,,,,,,,,,,,,0,0,0
Ag,mp-8566,0.0,110,6,24,7.598590219503293,5.042227622212927,9.46370874,27.598590219503293,90.0,94.71500395394824,90.0,False,,,,,,,,,,,,0,0,0
Ag,mp-8566,0.0,111,6,21,7.598590219503299,5.042227622212927,9.90133675724082,27.598590219503293,99.6389756194886,94.71500395394824,75.24871835509359,True,,,,,,,,,,,,0,0,0
Ag,mp-124,0.0021267149999992,100,6,6,10.260890897275631,2.902218213791567,2.902218213791567,30.26089089727563,90.0,90.0,90.0,False,True,2.0,0.0,1.0,3.0,2.0,0.0,1.0,2.0,0.0,1.0,0,0,0
Ag,mp-124,0.0021267149999992,110,6,6,7.255545534478916,2.902218213791566,4.104356358910253,27.25554553447892,90.0,90.0,90.0,False,True,3.0,0.0,1.0,4.0,2.0,0.0,1.0,2.0,0.0,1.0,0,0,0
Ag,mp-124,0.0021267149999992,111,6,6,11.917695185514642,2.902218213791567,2.902218213791566,31.91769518551465,87.49622545351538,87.49622545351538,59.99999999999999,False,True,2.0,2.0,1.0,5.0,2.0,2.0,1.0,2.0,2.0,1.0,0,0,0
Ag,mp-10597,0.0076686750000014,100,6,12,13.49752156105289,2.92229914,4.70166181,33.49752156105289,90.0,90.0,90.0,False,True,3.0,2.0,2.0,7.0,0.0,2.0,0.0,0.0,2.0,0.0,0,0,0
Ag,mp-10597,0.0076686750000014,110,6,12,7.489053705721469,4.70166181,5.061570585394835,27.489053705721467,94.71500395394824,90.0,90.0,False,True,4.0,2.0,2.0,8.0,0.0,2.0,0.0,0.0,2.0,0.0,0,0,0
Ag,mp-10597,0.0076686750000014,111,6,12,7.5838414251724675,5.061570585394835,5.535833816080212,27.58384142517247,92.260041068431,94.508938906208,62.79572768131012,False,True,6.0,2.0,2.0,10.0,0.0,2.0,0.0,0.0,2.0,0.0,0,0,0
Ag,mp-989737,0.0103816750000014,100,6,18,4.252320876640592,2.946094323370934,21.61395000358281,24.252320876640592,90.0,90.0,90.0,False,,,,,,,,,,,,0,0,0
Ag,mp-989737,0.0103816750000014,110,6,18,7.689849703988562,5.102785051968708,7.4027115906115615,27.689849703988564,88.91778689492715,85.28499604605182,76.71641080976674,False,,,,,,,,,,,,0,0,0
Ag,mp-989737,0.0103816750000014,111,6,46,7.829665153152,5.102785051968711,21.813809995495426,27.829665153152003,94.41119892325756,94.71500395394824,83.28318179705491,True,,,,,,,,,,,,0,0,0
Ag,mp-2646971,0.0343371633333333,100,6,6,8.27827000694058,3.3113080027762325,3.3113080027762325,28.27827000694058,90.0,90.0,90.0,False,True,2.0,0.0,1.0,3.0,1.0,0.0,1.0,1.0,0.0,1.0,0,0,0
Ag,mp-2646971,0.0343371633333333,110,6,6,11.707241716801782,2.86767685015893,2.86767685015893,31.707241716801786,90.0,90.0,109.47122063449068,False,True,2.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0
Ag,mp-2646971,0.0343371633333333,111,6,9,7.396672540829236,4.6828966867207145,4.6828966867207145,27.39667254082924,89.99999999999999,94.117139476527,60.00000000000002,False,True,5.0,0.0,2.0,7.0,1.0,0.0,2.0,1.0,0.0,2.0,0,0,0
LiAg,mp-2426,0.0,100,6,6,7.806850824999998,3.1227403300000005,3.1227403300000005,27.806850825,90.0,90.0,90.0,False,True,2.0,0.0,1.0,3.0,2.0,0.0,1.0,2.0,0.0,1.0,0,0,0
LiAg,mp-2426,0.0,110,6,12,11.040554316138596,3.1227403300000005,4.416221726455435,31.0405543161386,90.00000000000001,90.0,90.0,False,True,3.0,2.0,2.0,7.0,1.0,2.0,2.0,1.0,2.0,2.0,0,0,0
LiAg,mp-2426,0.0,111,6,6,4.507287425337006,4.416221726455435,4.416221726455436,24.507287425337005,90.0,90.0,60.00000000000001,False,True,4.0,0.0,2.0,6.0,2.0,0.0,2.0,2.0,0.0,2.0,0,0,0
Li3Ag,mp-865875,0.0,100,6,12,8.004875006999418,4.528241120000001,4.528241120000001,28.00487500699942,90.0,90.0,90.0,False,True,3.0,0.0,1.0,4.0,3.0,0.0,1.0,3.0,0.0,1.0,0,0,0
Li3Ag,mp-865875,0.0,110,6,24,11.320602800000009,4.52824112,6.403900005599534,31.320602800000003,90.0,90.0,90.0,False,True,5.0,3.0,3.0,11.0,2.0,3.0,2.0,2.0,3.0,2.0,0,0,0
Li3Ag,mp-865875,0.0,111,6,6,4.621616740120427,4.52824112,4.528241120000001,24.621616740120423,90.0,90.00000000000001,120.0,False,True,1.0,2.0,1.0,4.0,1.0,2.0,1.0,1.0,2.0,1.0,0,0,0
MgAg,mp-2696,0.0,100,6,6,8.259844049999993,3.30393762,3.30393762,28.25984405,90.0,90.0,90.0,False,True,2.0,0.0,1.0,3.0,2.0,0.0,1.0,2.0,0.0,1.0,0,0,0
MgAg,mp-2696,0.0,110,6,12,11.681183478596717,3.30393762,4.672473391438684,31.681183478596715,90.0,90.0,90.0,False,True,3.0,2.0,2.0,7.0,3.0,2.0,2.0,3.0,2.0,2.0,0,0,0
MgAg,mp-2696,0.0,111,6,9,7.5278737973178895,4.672473391438684,4.672473391438685,27.527873797317888,90.00000000000001,86.8152614632796,60.00000000000001,False,True,5.0,0.0,2.0,7.0,3.0,0.0,2.0,3.0,0.0,2.0,0,0,0
MgAg3,mp-1185836,0.0040015249999996,100,6,24,10.249305749193258,4.099722299677304,8.308779498713303,30.24930574919326,90.0,90.0,90.0,False,False,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1
MgAg3,mp-1185836,0.0040015249999996,110,6,12,7.247353597708825,5.065847970162084,5.065847970162084,27.247353597708823,90.0,90.0,110.1851766747458,False,True,4.0,0.0,1.0,5.0,4.0,0.0,1.0,4.0,0.0,1.0,0,0,0
MgAg3,mp-1185836,0.0040015249999996,111,6,22,6.474141592916535,5.797882878167058,9.265178880772348,26.47414159291653,87.11973568780154,90.00000000000001,71.76678100081223,True,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
MgAg5,mp-1185833,0.0054295619444437,100,6,12,7.261711164901747,5.031061075,4.77181935,27.261711164901747,90.0,90.0,90.0,False,True,4.0,2.0,2.0,8.0,3.0,2.0,2.0,3.0,2.0,2.0,0,0,0
MgAg5,mp-1185833,0.0054295619444437,110,6,33,12.5776526875,4.77181935,8.714053397882093,32.5776526875,90.0,90.0,90.0,False,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
MgAg5,mp-1185833,0.0054295619444437,111,6,36,11.51975556036717,6.934106679985143,6.934106679985142,31.51975556036717,90.51374387424656,89.48625612575343,102.14342224218036,False,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
MgAg5,mp-1185839,0.0075564019444462,100,6,36,7.263771944094586,5.025611596874893,14.349535421235077,27.26377194409459,90.0,89.99999999999999,90.0,False,,,,,,,,,,,,0,0,0
MgAg5,mp-1185839,0.0075564019444462,110,6,33,12.564028992187238,5.594436547670576,7.52027208341265,32.56402899218724,90.0,90.0,98.25546587496844,False,,,,,,,,,,,,0,0,0
MgAg5,mp-1185839,0.0075564019444462,111,6,40,6.091957071952482,8.704614624894674,15.204142156923012,26.09195707195248,83.3572950423658,95.51662146254948,73.36594008202322,False,,,,,,,,,,,,0,0,0
MgAg3,mp-30351,0.0103914399999993,100,6,12,10.295923975000004,4.11836959,4.11836959,30.295923975,90.0,90.0,90.0,False,,,,,,,,,,,,0,0,0
MgAg3,mp-30351,0.0103914399999993,110,6,12,7.280317661303657,4.11836959,5.824254129042923,27.280317661303656,90.0,90.0,90.0,False,,,,,,,,,,,,0,0,0
MgAg3,mp-30351,0.0103914399999993,111,6,24,11.888708957044344,5.824254129042923,5.824254129042924,31.888708957044344,90.00000000000001,90.00000000000001,60.00000000000002,False,,,,,,,,,,,,0,0,0
