material_id,formula_pretty,nsites,composition,density,energy_per_atom,formation_energy_per_atom,energy_above_hull,band_gap,efermi,is_gap_direct,is_metal,cbm,vbm,is_magnetic,total_magnetization,total_magnetization_normalized_formula_units,num_unique_magnetic_sites
mp-27816,Ag3BO3,7,Ag3 B1 O3,6.402022767932245,-5.442176185714286,-1.149020782738093,0.06813990955357,0.0,1.169379849999999,False,True,,,False,0.0006357,0.0006357,0.0
mp-561550,Ag3BO3,28,Ag12 B4 O12,6.648231554285297,-5.494430692857143,-1.2012752898809511,0.015885402410713,0.8717,1.15331678,False,False,1.979,1.1073,False,0.0,0.0,0.0
mp-780275,AgBO3,10,Ag2 B2 O6,5.035218550839825,-6.374372163999999,-1.501129671166666,0.085240030499998,0.0,1.30686632,False,True,,,False,0.0013824,0.0006912,0.0
mp-1100399,HfAgB,3,Hf1 Ag1 B1,8.957842786365353,-23.742595047777773,0.8752871963888961,1.455574813055559,0.0,3.06224967,False,True,,,False,9.1e-05,9.1e-05,0.0
mp-1229225,Ag5BS4,20,Ag10 B2 S8,5.78595760142882,-3.849457436,-0.105090334749998,0.253833717139996,0.0,2.83779225,False,True,2.8341000000000003,2.8496,False,0.8500819,0.42504095,0.0
mp-631568,AlAgB,3,Al1 Ag1 B1,5.245118397368363,-10.966022374633331,0.8454208495333331,0.9112557830999992,0.0,5.0156043,False,True,,,False,0.0006854,0.0006854,0.0
mp-961701,ZrAgB,3,Zr1 Ag1 B1,6.136514817990506,-16.307428273611112,0.843246142222222,1.419550030555555,0.0,2.79610725,False,True,,,False,1.8e-06,1.8e-06,0.0
mp-985292,AgBO3,5,Ag1 B1 O3,6.548744367105115,-5.419856482,-0.546613989166666,1.039755712499998,0.0,4.27022569,False,True,,,True,1.9870728,1.9870728,2.0
mp-631581,Ag2BBr,4,Ag2 B1 Br1,6.828267002085728,-2.5316147425,0.968938673125001,1.298749192291667,0.0,4.1528842,False,True,,,False,0.0067894,0.0067894,0.0
mp-559803,AgBO2,128,Ag32 B32 O64,5.293435268272394,-6.737913927578124,-1.8833510627864567,0.009954755390622,1.285299999999999,1.93669958,True,False,2.5577,1.2724,False,0.8375904,0.0261747,0.0
mp-12021,AgBF4,24,Ag4 B4 F16,4.612169661838752,-9.337512175416666,-2.469788318333332,0.0,3.157,-1.17094774,True,False,1.8587,-1.2983,False,0.0,0.0,0.0
mp-5160,AgBF5,14,Ag2 B2 F10,4.053972218692769,-8.609666045,-2.276470174642857,0.0,0.0,-2.33476905,False,True,,,False,0.516401,0.2582005,0.0
mp-12062,AgB2,3,Ag1 B2,6.668703845978472,-11.492373315,0.523821864999999,0.523821865,0.0,5.46587824,False,True,,,False,0.0006201,0.0006201,0.0
mp-10413,AgB(CN)4,10,Ag1 B1 C4 N4,1.90557316828904,-10.346492591041669,0.154124887708333,0.436720686333334,4.2798,-2.20769146,False,False,1.9932,-2.2866,False,0.0,0.0,0.0
mp-24058,AgBH2OF4,72,Ag8 B8 H16 O8 F32,3.632520551919322,-5.376078828055557,-2.163186291203704,0.0,3.044,-1.38990709,True,False,1.6468,-1.3972,False,0.0,0.0,0.0
mp-559834,AgBTe4C(OF4)5,128,Ag4 B4 Te16 C4 O20 F80,3.458251751199684,-5.109084869609375,-2.16085398859375,0.085251042421876,2.5739,-1.60138207,True,False,0.8884000000000001,-1.6855,False,0.0005771,0.000144275,0.0
mp-1215142,AgBHC12(NF2)9,168,Ag4 B4 H4 C48 N36 F72,2.175558049275718,-6.704606193035716,-1.1526269053472231,0.150790040119044,3.4749,-0.59444737,True,False,2.6236,-0.8513000000000001,False,0.0038198,0.00095495,0.0
mp-557494,AgBTe4C2(O3F10)2,136,Ag4 B4 Te16 C8 O24 F80,3.19322675684434,-5.283591641764706,-2.091758352279411,0.160985800465687,2.8918,-1.95570819,False,False,0.8834000000000001,-2.0084,False,0.003374599999999,0.00084365,0.0
mp-759882,AgBH8C4(N2F)4,52,Ag2 B2 H16 C8 N16 F8,2.136742848920456,-6.520455260192307,-0.8293312986858971,0.077754530576927,3.8049,-0.8193157600000001,False,False,2.9602,-0.8447,False,0.0,0.0,0.0
mp-1194753,AgB3O5,36,Ag4 B12 O20,4.390398371393116,-7.692172197222222,-2.4009590843518502,0.018237387291663,2.3274,2.11267989,False,False,4.3741,2.0467,False,0.0,0.0,0.0
mp-1194638,Ag3B5O9,68,Ag12 B20 O36,4.770354001578002,-7.250091568235295,-2.16436092504902,0.007357592022056,1.8021,1.78947046,False,False,3.5916,1.7895,False,0.0022542,0.00056355,0.0
mp-1194697,AgB5H6N2Cl5,152,Ag8 B40 H48 N16 Cl40,1.871555433953394,-5.069856802828948,-0.726163926249999,0.156560678004383,2.7748,-0.49374299,True,False,2.281,-0.4938,False,0.300867999999999,0.037608499999999,0.0
mp-703539,AgB11H6CBr6,100,Ag4 B44 H24 C4 Br24,2.66732827232553,-5.1195693396,-0.489973033799999,0.0,3.296399999999999,-0.74745511,False,False,2.4976000000000003,-0.7988000000000001,False,6.06e-05,1.5150000000000002e-05,0.0
mp-679997,CsAg2(B5O8)3,168,Cs4 Ag8 B60 O96,2.836523708866433,-8.027523707440476,-2.657623859594964,0.0,3.6769,1.22089038,False,False,3.8739,0.197,False,0.0416874,0.01042185,0.0
mp-567334,Ag(BCl)6,104,Ag8 B48 Cl48,2.666185535806875,-8.609922744615385,-0.736950766538461,0.0,2.7028,0.44599951,True,False,3.0934,0.3906,False,0.0,0.0,0.0
mp-554259,SrAgB7O12,84,Sr4 Ag4 B28 O48,3.4998031720088623,-8.04551173857143,-2.775671727896826,0.0,3.0004,1.7333392,False,False,4.6944,1.694,False,0.0,0.0,0.0
mp-759792,Ag2B8O13,92,Ag8 B32 O52,3.391398519078204,-7.866259528586957,-2.499107242137681,0.011548473586955,2.858,3.93892669,False,False,3.9386,1.0806,False,0.0014945,0.000373625,0.0
mp-851575,Ag2B8O13,92,Ag8 B32 O52,3.391398519078204,-6.64134937652174,-1.274197090072464,1.236458625652172,0.414099999999999,2.52673037,False,False,2.9344,2.520299999999999,False,0.005487499999999,0.001371875,0.0
mp-554873,Ag2B8O13,92,Ag8 B32 O52,3.401789519714084,-7.877808002173912,-2.510655715724636,0.0,3.4397,0.62937272,False,False,3.886,0.4463,False,0.0,0.0,0.0
mp-1247866,Ag2B8O13,92,Ag8 B32 O52,3.27284456333392,-7.87039608,-2.503243793550724,0.007411922173912,2.9324,3.60991301,False,False,3.6098,0.6774,False,0.0022775,0.000569375,0.0
mp-699468,CsAg(BH)10,88,Cs4 Ag4 B40 H40,2.329383533386503,-7.219318261360192,-0.197545709882919,0.086146454548893,3.953,-0.77854536,False,False,3.1705,-0.7825000000000001,False,0.0002631,6.5775e-05,0.0
mp-738633,AgB10H26C6N,176,Ag4 B40 H104 C24 N4,1.347395925257623,-5.171028837613636,-0.133861646496211,0.143578527184342,3.9999,-0.88972049,True,False,3.0477,-0.9522,False,0.0886782,0.02216955,0.0
mp-1204520,AgB10P2H40C15NCl2O3,296,Ag4 B40 P8 H160 C60 N4 Cl8 O12,1.261627772768507,-5.344654892736486,-0.187648865407014,0.299161901033784,1.9977,-0.68550915,False,False,1.0084,-0.9893,False,1.86e-05,4.65e-06,0.0
mp-1228988,AlAg3,20,Al5 Ag15,8.683933897840129,-17.7724069715,-0.072474530250002,0.0,0.0,4.54067521,False,True,4.5288,4.5429,False,0.0,0.0,0.0
mp-1228947,AlAg4,5,Al1 Ag4,8.671245147627953,-18.41552362793333,0.015597754066666,0.073577378266669,0.0,4.07520787,False,True,,,False,0.000538,0.000538,0.0
mp-1228901,AlAg,2,Al1 Ag1,6.819245943325724,-14.07397369,-0.0299859525,0.018330401,0.0,5.93618702,False,True,,,False,0.0,0.0,0.0
mp-985805,AlAg2,6,Al2 Ag4,8.170901523456344,-16.538049853333334,-0.056765646666666,0.007656157999999,0.0,5.60404494,False,True,,,False,0.000106199999999,5.31e-05,0.0
mp-1228927,AlAg3,4,Al1 Ag3,8.320607458548649,-17.681613237,0.018319204250001,0.0907937345,0.0,4.6476709,False,True,,,False,1.04e-05,1.04e-05,0.0
mp-1247813,AlAg7Se5,13,Al1 Ag7 Se5,0.100697878600463,-15.169524652980773,2.352093770072114,2.678560796057692,0.0424,-4.66182388,True,False,-4.6476,-4.69,True,13.3652042,13.3652042,12.0
mp-675325,Al(Ag3S2)3,16,Al1 Ag9 S6,5.602808406708189,-15.706440715625,-0.260239715742185,0.054541445937498,0.9488,2.8581436,False,False,2.8584,1.9096,False,0.0002075,0.0002075,0.0
mp-14091,AlAgSe2,8,Al2 Ag2 Se4,4.941582476882665,-14.92098608625,-0.7432121020312501,0.0,1.135199999999999,2.18218391,True,False,3.2434,2.1082,False,0.0,0.0,0.0
mp-14092,AlAgTe2,8,Al2 Ag2 Te4,5.285977139432593,-20.1698675125,-0.439261488750002,0.0,1.0469,3.47746818,True,False,4.4015,3.3546,False,0.0,0.0,0.0
mp-5782,AlAgS2,8,Al2 Ag2 S4,3.900206524762422,-11.94301553125,-0.904003048906249,0.0,1.8992,2.88185789,True,False,4.7058,2.8066,False,3e-07,1.5e-07,0.0
mp-7885,AlAgS2,4,Al1 Ag1 S2,4.4128726240685054,-11.872591379999983,-0.833578897656234,0.070424151249993,1.7077,4.16099646,False,False,5.8105,4.1028,False,7e-07,7e-07,0.0
mp-1096820,AlAgS2,4,Al1 Ag1 S2,4.378101175329276,-11.857818637499983,-0.8188061551562341,0.085196893749992,1.634999999999999,4.05794546,True,False,5.5905000000000005,3.9555,False,0.0015332,0.0015332,0.0
mp-1096824,AlAgO2,4,Al1 Ag1 O2,6.215196653089008,-6.3445476025,-2.223438722916666,0.081438373749977,1.0623,3.96447148,False,False,4.9329,3.8706,False,0.000240999999999,0.000240999999999,0.0
